Rank,Date,Location,Opponent,Result,Cmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,Plays,Yards,YardsPerPlay,PassFirstDowns,RushFirstDowns,PenFirstDowns,TotalFirstDowns,Penalties,PenaltyYards,Fumbles,Interceptions,Turnovers,Team,game_id
1.0,2023-08-31,,Florida,W (24-11),15,23,65.2,165,1,30,105,3.5,2,53,270,5.1,5,7,1,13,5,37,0,0,0,Utah,/cfb/boxscores/2023-08-31-utah.html
2.0,2023-09-09,@,Baylor,W (20-13),12,26,46.2,153,0,47,224,4.8,2,73,377,5.2,9,11,0,20,7,59,0,1,1,Utah,/cfb/boxscores/2023-09-09-baylor.html
3.0,2023-09-16,,Weber State,W (31-7),13,21,61.9,193,1,52,231,4.4,2,73,424,5.8,7,15,1,23,5,35,0,0,0,Utah,/cfb/boxscores/2023-09-16-utah.html
4.0,2023-09-23,,UCLA,W (14-7),9,17,52.9,117,1,48,102,2.1,0,65,219,3.4,7,6,0,13,4,30,1,0,1,Utah,/cfb/boxscores/2023-09-23-utah.html
5.0,2023-09-29,@,Oregon State,L (7-21),13,31,41.9,141,1,32,57,1.8,0,63,198,3.1,5,5,4,14,4,20,0,1,1,Utah,/cfb/boxscores/2023-09-29-oregon-state.html
6.0,2023-10-14,,California,W (34-14),15,22,68.2,128,0,53,317,6.0,4,75,445,5.9,5,15,1,21,3,38,0,0,0,Utah,/cfb/boxscores/2023-10-14-utah.html
1.0,2023-09-02,@,Iowa,L (14-24),32,48,66.7,213,1,24,116,4.8,0,72,329,4.6,12,5,2,19,10,91,0,1,1,Utah State,/cfb/boxscores/2023-09-02-iowa.html
2.0,2023-09-09,,Idaho State,W (78-28),22,28,78.6,211,4,41,380,9.3,5,69,591,8.6,7,16,0,23,4,35,0,0,0,Utah State,/cfb/boxscores/2023-09-09-utah-state.html
3.0,2023-09-15,@,Air Force,L (21-39),20,35,57.1,248,3,26,54,2.1,0,61,302,5.0,11,5,4,20,4,17,1,1,2,Utah State,/cfb/boxscores/2023-09-15-air-force.html
4.0,2023-09-23,,James Madison,L (38-45),27,49,55.1,402,4,31,98,3.2,1,80,500,6.3,15,6,0,21,9,80,0,3,3,Utah State,/cfb/boxscores/2023-09-23-utah-state.html
5.0,2023-09-30,@,Connecticut,W (34-33),17,24,70.8,315,4,32,101,3.2,0,56,416,7.4,11,6,4,21,7,67,0,2,2,Utah State,/cfb/boxscores/2023-09-30-connecticut.html
6.0,2023-10-07,,Colorado State,W (44-24),19,29,65.5,387,4,55,252,4.6,2,84,639,7.6,13,14,1,28,7,70,2,2,4,Utah State,/cfb/boxscores/2023-10-07-utah-state.html
7.0,2023-10-13,,Fresno State,L (32-37),23,40,57.5,363,3,42,205,4.9,1,82,568,6.9,16,12,2,30,8,74,0,2,2,Utah State,/cfb/boxscores/2023-10-13-utah-state.html
1.0,2023-08-26,@,Jacksonville State,L (14-17),17,29,58.6,208,1,43,156,3.6,1,72,364,5.1,9,9,4,22,5,55,1,2,3,UTEP,/cfb/boxscores/2023-08-26-jacksonville-state.html
2.0,2023-09-02,,Incarnate Word,W (28-14),10,13,76.9,94,2,50,329,6.6,2,63,423,6.7,4,18,3,25,11,117,0,0,0,UTEP,/cfb/boxscores/2023-09-02-texas-el-paso.html
3.0,2023-09-09,@,Northwestern,L (7-38),19,30,63.3,215,1,35,104,3.0,0,65,319,4.9,9,8,1,18,6,42,0,3,3,UTEP,/cfb/boxscores/2023-09-09-northwestern.html
4.0,2023-09-16,@,Arizona,L (10-31),18,35,51.4,283,1,26,49,1.9,0,61,332,5.4,11,1,1,13,6,60,1,0,1,UTEP,/cfb/boxscores/2023-09-16-arizona.html
5.0,2023-09-23,,Nevada-Las Vegas,L (28-45),14,31,45.2,225,1,34,91,2.7,3,65,316,4.9,10,5,6,21,8,74,0,3,3,UTEP,/cfb/boxscores/2023-09-23-texas-el-paso.html
6.0,2023-09-29,,Louisiana Tech,L (10-24),9,27,33.3,101,0,46,224,4.9,1,73,325,4.5,4,8,5,17,9,78,1,0,1,UTEP,/cfb/boxscores/2023-09-29-texas-el-paso.html
7.0,2023-10-11,@,Florida International,W (27-14),12,18,66.7,302,2,43,139,3.2,1,61,441,7.2,9,8,1,18,4,30,0,0,0,UTEP,/cfb/boxscores/2023-10-11-florida-international.html
1.0,2023-09-02,@,Houston,L (14-17),18,36,50.0,209,1,35,208,5.9,1,71,417,5.9,11,11,0,22,8,64,0,3,3,UTSA,/cfb/boxscores/2023-09-02-houston.html
2.0,2023-09-09,,Texas State,W (20-13),26,38,68.4,214,1,54,158,2.9,1,92,372,4.0,11,15,2,28,1,5,1,0,1,UTSA,/cfb/boxscores/2023-09-09-texas-san-antonio.html
3.0,2023-09-15,,Army,L (29-37),17,27,63.0,239,3,22,121,5.5,1,49,360,7.3,8,6,0,14,5,35,1,0,1,UTSA,/cfb/boxscores/2023-09-15-texas-san-antonio.html
4.0,2023-09-23,@,Tennessee,L (14-45),30,41,73.2,231,2,40,88,2.2,0,81,319,3.9,11,5,0,16,5,40,1,2,3,UTSA,/cfb/boxscores/2023-09-23-tennessee.html
5.0,2023-10-07,@,Temple,W (49-34),25,33,75.8,338,3,35,157,4.5,4,68,495,7.3,16,8,2,26,8,83,0,0,0,UTSA,/cfb/boxscores/2023-10-07-temple.html
6.0,2023-10-14,,Alabama-Birmingham,W (41-20),20,32,62.5,177,2,38,183,4.8,3,70,360,5.1,10,12,3,25,6,48,0,1,1,UTSA,/cfb/boxscores/2023-10-14-texas-san-antonio.html
1.0,2023-08-26,,Hawaii,W (35-28),19,30,63.3,258,3,26,39,1.5,1,56,297,5.3,11,3,3,17,8,72,0,0,0,Vanderbilt,/cfb/boxscores/2023-08-26-vanderbilt.html
